Taxpayer_SSN,Tax_Year,W2,1099B,1099DIV,1099G,1099INT,1099MISC,1099NEC,1099R
309284752,2023,1,0,0,0,0,1,0,0
482910372,2020,1,0,0,0,1,0,0,0
482910372,2021,1,0,0,0,0,0,1,0
482910372,2022,1,0,1,0,0,0,0,0
482910372,2023,1,0,0,0,0,1,0,0
583920143,2020,1,0,0,0,1,0,0,0
583920143,2021,1,0,0,0,0,1,0,0
583920143,2022,1,0,0,1,0,0,0,0
583920143,2023,1,0,0,0,0,0,1,0
674920387,2020,1,0,0,0,1,0,0,0
674920387,2021,1,0,0,0,0,1,0,0
674920387,2022,1,0,1,0,0,0,0,0
674920387,2023,1,0,0,0,0,1,0,0
789203478,2020,1,0,0,0,1,0,0,0
789203478,2021,1,0,0,0,0,0,1,0
789203478,2022,1,0,1,0,0,0,0,0
789203478,2023,1,0,0,0,0,1,0,0
892034179,2020,1,0,0,0,0,0,0,1
892034179,2021,1,0,0,0,1,0,0,0
892034179,2022,1,0,1,0,0,0,0,0
892034179,2023,1,0,0,0,0,1,0,0
903847267,2020,1,0,0,0,1,0,0,0
903847267,2021,1,0,0,0,0,0,1,0
903847267,2022,1,0,1,0,0,0,0,0
903847267,2023,1,0,0,0,0,1,0,0
102938469,2020,1,0,0,0,1,0,0,0
102938469,2021,1,0,0,0,0,1,0,0
102938469,2022,1,0,1,0,0,0,0,0
102938469,2023,1,0,0,0,0,1,0,0
203948179,2020,1,0,0,0,1,0,0,0
203948179,2021,1,0,0,0,0,0,1,0
203948179,2022,1,0,1,0,0,0,0,0
203948179,2023,1,0,0,0,0,1,0,0
309284759,2020,1,0,0,0,1,0,0,0
309284759,2021,1,0,0,0,0,0,1,0
309284759,2022,1,0,1,0,0,0,0,0
309284759,2023,1,0,0,0,0,1,0,0
