Taxpayer_SSN,Tax_Year,1040,1040_Schedule_1,1040_Schedule_2,1040_Schedule_3,1040_Schedule_8812,1040_Schedule_A,1040_Schedule_B,1040_Schedule_C,1040_Schedule_D,1040_Schedule_E,1040_Schedule_F,1040_Schedule_SE,1040X,2441,8949
849201735,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
849201735,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
920384756,2020,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
920384756,2021,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
920384756,2022,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
920384756,2023,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
102938475,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102938475,2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102938475,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102938475,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203948162,2020,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
203948162,2021,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
203948162,2022,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
203948162,2023,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
309284752,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309284752,2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309284752,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309284752,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
482910372,2020,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
482910372,2021,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
482910372,2022,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
482910372,2023,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
583920143,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
583920143,2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
583920143,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
583920143,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
674920387,2020,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
674920387,2021,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
674920387,2022,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
674920387,2023,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
789203478,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
789203478,2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
789203478,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
789203478,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
892034179,2020,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
892034179,2021,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
892034179,2022,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
892034179,2023,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
903847267,2020,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
903847267,2021,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
903847267,2022,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
903847267,2023,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
102938469,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102938469,2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102938469,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102938469,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203948179,2020,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
203948179,2021,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
203948179,2022,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
203948179,2023,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
309284759,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309284759,2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309284759,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309284759,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
384920175,2020,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
384920175,2021,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
384920175,2022,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
384920175,2023,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
475920384,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475920384,2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475920384,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475920384,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
583920471,2020,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
583920471,2021,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
583920471,2022,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
583920471,2023,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
675839201,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
675839201,2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
675839201,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
675839201,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762839104,2020,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
762839104,2021,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
762839104,2022,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
762839104,2023,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
839201475,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
839201475,2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
839201475,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
839201475,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
920384175,2020,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
920384175,2021,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
920384175,2022,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
920384175,2023,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
102938471,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102938471,2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102938471,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102938471,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203948162,2020,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
203948162,2021,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
203948162,2022,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
203948162,2023,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
309284752,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309284752,2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309284752,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309284752,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
384920175,2020,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
384920175,2021,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
384920175,2022,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
384920175,2023,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
475920384,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475920384,2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475920384,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475920384,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
583920471,2020,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
583920471,2021,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
583920471,2022,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
583920471,2023,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
675839201,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
675839201,2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
675839201,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
675839201,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762839104,2020,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
762839104,2021,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
762839104,2022,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
762839104,2023,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
839201475,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
839201475,2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
839201475,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
839201475,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
